doi,note
Bartoli2021,
10.1111/j.1600-0587.2010.06237.x,
10.21829/abm131.2024.2367,
10.1016/j.jclepro.2024.143783,
10.1111/jse.13077,
10.1111/jse.13067,
10.21203/rs.3.rs-4249551/v1,preprint
10.1101/2023.09.08.556918,preprint
10.1590/1676-0611-bn-2024-1648,
10.1007/s40415-024-01005-y,
10.1111/jzo.13173,
10.1111/jvs.13261,
10.1111/jbi.14840,
10.1002/csc2.21143,
10.7717/peerj.17242,
10.1080/12298093.2023.2297485,
10.1186/s12862-024-02263-w,
10.11646/phytotaxa.641.1.3,
10.1093/jmammal/gyae055,
10.1186/s12862-024-02256-9,
10.1016/j.cub.2024.02.023,
10.1371/journal.pone.0306440,
10.1002/inc3.67,
10.1016/j.pld.2023.11.004,
10.1016/j.jaridenv.2024.105230,
10.1600/036364424x17151801116394,
10.17129/botsci.3467,
10.17129/botsci.3462,
10.3390/plants13182635,
10.1163/22244662-bja10072,
10.1111/jse.13017,
10.1016/j.jep.2024.118573,
10.1111/jbi.14679,
10.1007/s10530-022-02908-1,
10.1007/s10531-023-02706-8,
10.1007/978-981-99-0131-9_8,
10.1016/j.gecco.2023.e02647,
10.1590/1677-941x-abb-2022-0314,
10.17129/botsci.3169,
10.22201/ib.20078706e.2023.94.4985,
10.21829/abm130.2023.2213,
10.3389/fsufs.2023.1192054,
10.1017/s1479262123000047,
10.1111/ddi.13660,
10.1038/s41467-023-42671-y,
10.1093/botlinnean/boad002,
10.1093/biolinnean/blac128,
10.1111/jse.13019,
10.1371/journal.pone.0292352,
10.3390/d15020306,
10.3390/d15040522,
10.1371/journal.pone.0287957,
10.11646/phytotaxa.609.3.2,
10.17129/botsci.3299,
10.1016/j.gecco.2023.e02752,
10.1016/j.isci.2023.107364,
10.1111/jbi.14577,
10.1016/j.ecolind.2023.110001,
10.1016/j.biocon.2022.109677,
10.1600/036364422x16512564801641,
10.1111/jbi.14385,
10.1016/j.jnc.2022.126197,
10.17129/botsci.2844,
10.1590/2175-7860202273057,
10.3390/d14060493,
10.1111/jbi.14358,
10.1007/s40415-022-00818-z,
10.1016/j.pld.2022.03.004,
10.1093/sysbio/syab068,
10.3389/fpls.2022.854372,
10.11646/phytotaxa.558.2.1,
10.3390/plants11202742,
10.7717/peerj.13534,
10.17129/botsci.2975,
10.3389/fevo.2022.774083,
10.1016/j.biocon.2022.109817,
10.1002/ece3.8940,
10.3389/fpls.2022.962609,
10.1111/csp2.12653,
10.1016/j.pld.2021.09.001,
10.1111/jipb.13189,
10.17520/biods.2021385,
10.11646/phytotaxa.514.1.3,
10.1002/ece3.8119,
10.1111/jbi.14107,
10.1111/ddi.13241,
10.1016/j.isci.2021.102239,
10.1371/journal.pone.0253152,
10.1007/s10531-021-02150-6,
10.3958/059.046.0425,
10.11646/phytotaxa.484.3.1,
10.47374/novcol.2021.v16.1987,
10.1111/eva.13295,
10.1093/biolinnean/blaa141,
10.1071/sb21012,
10.1016/j.funeco.2021.101097,
10.3390/biology10020072,
10.1126/sciadv.abe5582,
10.22201/ib.20078706e.2021.92.3739,
10.1111/jbi.14083,
10.1007/s40415-020-00671-y,
10.1111/ddi.13254,
10.1111/jbi.14076,
10.1016/j.foreco.2021.119540,
10.1111/jse.12558,
10.1016/j.gecco.2021.e01885,
10.1093/aobpla/plab018,
10.1016/j.pld.2020.09.001,
10.1002/ece3.7180,
10.1111/ecog.04815,
10.17129/botsci.2550,
10.11646/zootaxa.4802.1.4,
10.1111/ddi.13116,
10.1111/nph.16293,
10.1111/nph.16737,
10.1007/s10722-020-00960-1,
10.3390/biology9080199,
10.1111/jbi.13789,
10.1111/jse.12590,
10.1111/jbi.13870,
10.1007/s40415-020-00665-w,
10.1093/botlinnean/boz062,
10.1016/j.jaridenv.2020.104139,
10.1640/0002-8444-110.4.211,
10.1111/jbi.13846,
10.1016/j.isci.2018.12.002,
10.1111/ecog.03927,
10.1111/geb.12888,
10.1111/ddi.12988,
10.1098/rspb.2018.2477,
10.1111/ecog.03783,
10.1073/pnas.1900056116,
10.1163/15685403-00003832,
10.1111/ecog.04194,
10.1111/jbi.13496,
10.1098/rspb.2019.1887,
10.1002/ece3.5059,
10.17520/biods.2019224,
10.1111/ecog.02596,
10.1080/11263504.2017.1353550,
10.1002/ecm.1287,
10.1016/j.jaridenv.2018.04.005,
10.1111/jbi.13399,
10.1111/geb.12679,
laffan2018,#10.1007/978-3-319-93145-6
10.1111/jse.12430,
10.1111/ecog.03260,
10.3897/zookeys.792.25314,
10.11646/phytotaxa.376.6.3,
10.1016/j.biocon.2018.05.030,
10.1111/jse.12416,
10.1111/jse.12423,
10.1002/ajb2.1191,
10.1111/jbi.13143,
10.1111/aec.12536,
10.3732/ajb.1600326,
10.1111/gbi.12235,
CassisLaffan2017,#10.1201/9781315373096
10.1111/ecog.02010,
10.1111/jbi.12875,
10.1071/sb17009,
10.1071/sb16015,
10.1080/23766808.2016.1266730,
10.1016/j.ympev.2017.04.021,
10.1186/s12915-017-0435-x,
10.1093/jpe/rtw031,
10.1111/ddi.12607,
10.3389/fpls.2017.02134,
10.1111/jbi.12760,
10.1111/geb.12412,
10.1016/j.palaeo.2015.11.037,
10.1016/j.apgeog.2016.06.012,
10.1177/1940082916667140,
10.1038/nclimate3126,
10.1016/j.envsoft.2015.10.025,
10.1111/zoj.12422,
10.1111/2041-210x.12513,
10.1111/jbi.12797,
10.1016/j.biocon.2016.04.006,
10.1111/nph.13199,
10.1111/ddi.12266,
10.1111/geb.12368,
10.1111/ddi.12290,
10.11646/phytotaxa.208.4.2,
10.1002/ece3.1747,
10.1016/j.scitotenv.2015.04.113,
10.1371/journal.pone.0126274,
10.1098/rspb.2015.1998,
10.1007/s11629-014-3070-9,
10.1111/jbi.12488,
10.1111/fog.12129,
10.1007/s11104-014-2113-x,
10.1098/rspb.2014.1461,
10.1080/13658816.2013.871725,
10.1002/ece3.1156,
10.1111/ddi.12217,
10.1371/journal.pone.0092558,
10.1111/ddi.12129,
10.3732/ajb.1400340,
10.1111/jbi.12331,
10.1007/s10531-014-0642-5,
10.1038/ncomms5473,
10.7751/telopea20148280,
10.1371/journal.pone.0114657,
10.1111/j.1600-0587.2013.00466.x,
10.1111/jbi.12219,
10.1080/14772000.2013.865681,
10.1371/journal.pone.0059227,
10.1111/jbi.12153,
10.1371/journal.pone.0080685,
10.1111/jbi.12001,
10.1080/13658816.2012.717627,
10.1080/13658816.2012.692371,
10.1111/j.1365-2699.2012.02739.x,
10.1007/s10592-012-0370-x,
10.1080/14772000.2012.705356,
10.1111/j.1365-2699.2012.02756.x,
10.1179/1743282012y.0000000004,
10.1071/bt11112,
10.1111/j.1365-294x.2009.04311.x,
10.1111/j.1467-968x.2008.00209.x,
10.1111/j.1466-8238.2006.00250.x,
10.1111/j.1365-2699.2004.01127.x,
10.1046/j.1365-2699.2003.00875.x,
10.1046/j.1365-2699.2001.00524.x,
10.1016/j.geosus.2024.100252,
10.1111/jbi.15066,
10.22201/ib.20078706e.2024.95.5446,
10.1016/j.biocon.2025.110994,
10.3389/fpls.2025.1495796,
10.1016/j.biocon.2025.111087,
10.17129/botsci.3585,
10.1002/ecog.07661,
10.17129/botsci.3661,
10.1111/csp2.70023,
10.3389/fevo.2025.1527735,
10.17129/botsci.3705,
10.21425/fob.18.134560,
10.1002/njb.04813,
10.17129/botsci.3681,
10.1007/s10531-025-03142-6,
10.1002/ece3.73207,
10.1007/s44353-026-00077-z,
10.1016/j.pld.2026.02.002,
10.21203/rs.3.rs-9010804/v1,preprint
10.1007/s10531-025-03239-y,
10.1016/j.flora.2026.152933,
10.1590/2175-7860202576060,
10.1016/j.gecco.2025.e03988,
10.1002/ece3.70910,
10.1071/SB25001,
10.1002/ece3.72403,
10.3389/fgene.2015.00132,
10.30848/PJB2024-3(42),
Roquer2025,
Tolley2018,
Volis2024,
#10.36334/modsim.2011.E3.laffan,has doi but it is bung
laffan2011,
laffanbickford2005,
#book chapter, no specific doi: 10.1007/978-3-030-33157-3
Paz_2020,
#book chapter, no specific doi: 10.1007/978-3-031-49255-6
PinedoEscatel_2024,
10.1371/journal.pone.0346965,
# doi not working yet: 10.22201/20078706e.2026.97
Pinedo_et_al_2026,
#  Three DOIs not crossreffed yet
#10.1600/036364426X17703284494548,
#10.1600/036364426X17703284494629,
#10.1600/036364426X17703284494656,
MoralesGarduno_et_al_2026_SysBot,
Li_et_al_2026_SysBot,
Gonzalez_Orozco_et_al_2026_SysBot,
10.1111/aec.70230,
10.1371/journal.pone.0349623,
10.21433/b3110cq8c6dd,
10.22201/ib.20078706e.2026.97.5780,
10.1093/botlinnean/boag070,
10.1111/ddi.70244,
10.1111/jbi.70324,

